action - 163, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 164, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 165, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 166, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 167, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 168, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 169, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 170, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 171, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 172, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 173, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 174, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 175, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 176, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 177, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 178, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 179, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 180, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 181, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 182, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 183, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 184, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 185, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 186, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 187, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 188, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 189, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 190, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 191, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 192, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 193, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
